aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
79,14,ScatterPlot,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
80,14,ScatterPlotColored,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
81,14,HeatMapDiscrete,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
82,14,HeatMapContinuous,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
83,14,IPPDiscrete,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
84,14,IPPContinuous,65/81/51/82/64/48,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,26/85/37/81/8/11,E/U/E/U/U/U,max/min/min/min/min/min,59/65/15/3/74/58,24/54/19/59/34/65,65/4/51/72/27/6,63/41/78/15/27/46,45/3/29/34/53/15,74/3/6/11/69/40,26/54/40/63/58/18
85,15,ScatterPlot,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
86,15,ScatterPlotColored,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
87,15,HeatMapDiscrete,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
88,15,HeatMapContinuous,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
89,15,IPPDiscrete,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
90,15,IPPContinuous,68/83/51/73/16/12,Opt2/Opt2/Opt1/Opt2/Opt2/Opt2,53/41/60/47/73/77,U/U/E/U/E/U,max/max/max/min/max/max,66/85/26/78/20/4,14/66/4/77/55/17,81/27/70/85/3/40,4/34/27/82/54/26,78/54/53/19/27/79,75/3/20/40/54/14,21/64/65/26/66/4
91,16,ScatterPlot,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
92,16,ScatterPlotColored,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
93,16,HeatMapDiscrete,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
94,16,HeatMapContinuous,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
95,16,IPPDiscrete,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
96,16,IPPContinuous,43/65/37/77/44/75,Opt2/Opt1/Opt1/Opt2/Opt2/Opt2,34/56/39/9/22/7,E/U/E/E/E/U,min/min/min/min/min/max,9/79/68/45/44/70,57/70/27/13/9/14,79/9/74/69/58/26,14/68/34/50/15/27,57/4/15/72/6/45,4/44/59/54/55/29,50/19/1/70/64/6
97,17,ScatterPlot,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
98,17,ScatterPlotColored,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
99,17,HeatMapDiscrete,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
100,17,HeatMapContinuous,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
101,17,IPPDiscrete,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
102,17,IPPContinuous,29/41/27/58/9/30,Opt2/Opt2/Opt2/Opt2/Opt2/Opt2,5/34/24/66/6/56,U/U/E/U/E/E,max/min/max/max/max/max,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
103,18,ScatterPlot,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
104,18,ScatterPlotColored,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
105,18,HeatMapDiscrete,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
106,18,HeatMapContinuous,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
107,18,IPPDiscrete,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
108,18,IPPContinuous,17/27/67/25/1/47,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,49/29/33/1/32/71,U/U/U/U/U/E,max/min/max/max/max/max,71/62/12/50/4/85,26/71/34/13/1/72,79/40/4/63/43/62,54/40/69/12/19/3,50/58/5/52/60/27,63/4/53/66/15/40,6/39/85/13/3/7
109,19,ScatterPlot,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
110,19,ScatterPlotColored,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
111,19,HeatMapDiscrete,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
112,19,HeatMapContinuous,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
113,19,IPPDiscrete,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
114,19,IPPContinuous,64/62/55/50/21/56,Opt2/Opt2/Opt2/Opt1/Opt2/Opt2,76/36/23/24/44/72,E/U/E/U/E/U,max/max/min/min/max/max,38/27/2/59/60/49,38/3/6/40/78/76,78/37/17/79/27/4,24/2/70/14/4/3,54/40/59/6/13/14,27/14/48/25/15/60,46/49/40/18/6/3
115,20,ScatterPlot,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
116,20,ScatterPlotColored,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
117,20,HeatMapDiscrete,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
118,20,HeatMapContinuous,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
119,20,IPPDiscrete,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
120,20,IPPContinuous,84/72/69/34/76/47,Opt2/Opt2/Opt2/Opt1/Opt1/Opt2,77/35/25/28/37/66,E/U/E/E/U/U,min/min/min/max/max/max,76/63/52/42/39/46,21/63/12/76/34/72,63/21/18/8/53/82,48/40/3/64/22/52,34/42/4/85/76/80,39/27/84/1/63/22,26/56/49/40/44/46
121,21,ScatterPlot,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
122,21,ScatterPlotColored,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
123,21,HeatMapDiscrete,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
124,21,HeatMapContinuous,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
125,21,IPPDiscrete,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
126,21,IPPContinuous,65/16/23/45/19/13,Opt2/Opt1/Opt2/Opt2/Opt2/Opt1,63/84/38/69/16/49,E/E/U/E/U/U,min/max/min/max/max/max,10/24/5/72/52/41,79/70/24/25/54/10,46/24/84/6/66/63,50/40/34/5/44/54,65/55/45/70/72/63,4/52/27/79/48/20,41/26/14/52/6/80
127,22,ScatterPlot,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
128,22,ScatterPlotColored,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
129,22,HeatMapDiscrete,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
130,22,HeatMapContinuous,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
131,22,IPPDiscrete,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
132,22,IPPContinuous,13/1/10/2/73/76,Opt2/Opt1/Opt2/Opt2/Opt1/Opt2,41/65/45/5/82/81,U/E/E/U/E/E,max/max/min/max/min/max,24/56/34/5/66/6,38/44/27/24/34/63,4/56/70/63/13/27,54/3/34/35/7/57,28/22/40/5/11/4,66/63/24/4/78/37,27/74/11/49/6/26
133,23,ScatterPlot,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
134,23,ScatterPlotColored,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
135,23,HeatMapDiscrete,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
136,23,HeatMapContinuous,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
137,23,IPPDiscrete,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
138,23,IPPContinuous,80/36/59/26/28/30,Opt2/Opt2/Opt2/Opt2/Opt1/Opt1,21/44/42/74/63/71,E/U/E/U/U/E,min/min/max/min/min/max,81/47/52/82/15/70,12/64/69/45/41/81,54/47/27/4/40/34,82/48/74/52/44/63,24/82/63/2/6/7,14/19/1/78/15/72,80/72/1/70/48/45
139,24,ScatterPlot,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
140,24,ScatterPlotColored,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
141,24,HeatMapDiscrete,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
142,24,HeatMapContinuous,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
143,24,IPPDiscrete,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
144,24,IPPContinuous,6/79/50/61/35/60,Opt1/Opt2/Opt2/Opt2/Opt2/Opt2,9/30/58/29/41/27,U/U/E/E/E/E,max/min/max/max/min/max,61/13/58/2/64/7,27/54/61/50/6/44,29/66/59/46/13/54,19/73/57/58/71/26,2/50/14/54/82/28,24/11/27/78/64/14,24/7/14/15/55/82
145,25,ScatterPlot,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
146,25,ScatterPlotColored,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
147,25,HeatMapDiscrete,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
148,25,HeatMapContinuous,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
149,25,IPPDiscrete,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
150,25,IPPContinuous,85/12/71/62/50/4,Opt2/Opt1/Opt2/Opt1/Opt1/Opt2,6/28/57/21/4/5,E/E/U/U/E/U,max/max/min/max/max/max,32/10/9/16/51/1,70/63/32/27/55/3,10/70/14/24/3/64,57/70/27/13/9/14,4/27/34/16/54/82,40/4/14/34/51/27,3/1/14/69/27/54
151,26,ScatterPlot,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
152,26,ScatterPlotColored,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
153,26,HeatMapDiscrete,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
154,26,HeatMapContinuous,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
155,26,IPPDiscrete,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
156,26,IPPContinuous,2/27/38/59/49/60,Opt1/Opt2/Opt1/Opt1/Opt1/Opt1,21/79/68/75/64/78,U/U/E/U/E/U,max/max/max/max/max/max,57/22/44/83/3/10,66/72/82/60/57/55,24/72/22/54/80/50,44/22/69/4/54/15,4/63/34/27/54/83,74/3/48/27/39/61,3/64/14/24/10/70
157,27,ScatterPlot,17/31/82/24/14/12,Opt1/Opt2/Opt1/Opt2/Opt2/Opt2,4/71/85/12/62/50,U/U/U/U/U/E,min/max/min/min/max/min,22/69/46/5/80/29,25/34/63/24/22/40,62/4/78/69/65/19,53/50/20/40/27/46,4/5/57/54/7/63,80/71/27/34/69/58,27/4/29/40/3/72
