Sex,Length,Diameter,Height,Whole_Weight,Shucked_Weight,Viscera_Weight,Shell_Weight,Rings,Scaled_Length,Scaled_Diameter,Scaled_Height,Scaled_Whole_Weight,Scaled_Shucked_Weight,Scaled_Viscera_Weight,Scaled_Shell_Weight,Scaled_Rings,Radius
M,0.35,0.265,0.09,0.1775,0.0575,0.042,0.068,12,350,265,90,177.5,57.5,42,68,120,1
F,0.44,0.345,0.17,0.4085,0.15,0.0825,0.1515,12,440,345,170,408.5,150,82.5,151.5,120,1
M,0.195,0.145,0.05,0.032,0.01,0.008,0.012,4,195,145,50,32,10,8,12,40,1
M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9,325,240,75,155,47.5,35.5,60,90,1
I,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18,495,370,125,477.5,185,70.5,169,180,1
I,0.45,0.35,0.145,0.525,0.2085,0.1,0.1655,15,450,350,145,525,208.5,100,165.5,150,1
M,0.415,0.345,0.135,0.3865,0.128,0.07,0.148,13,415,345,135,386.5,128,70,148,130,1
F,0.47,0.355,0.14,0.433,0.1525,0.095,0.152,12,470,355,140,433,152.5,95,152,120,1
M,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7,320,240,85,170,65.5,47,49,70,1
M,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9,310,225,75,129.5,45.5,33.5,44,90,1
M,0.235,0.17,0.055,0.0515,0.018,0.0105,0.0195,7,235,170,55,51.5,18,10.5,19.5,70,1
M,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10,345,255,80,169,60,42.5,54,100,1
I,0.485,0.38,0.14,0.673,0.2175,0.13,0.195,18,485,380,140,673,217.5,130,195,180,1
F,0.5,0.385,0.115,0.6785,0.2945,0.138,0.195,12,500,385,115,678.5,294.5,138,195,120,1
F,0.5,0.385,0.105,0.498,0.1795,0.1095,0.17,17,500,385,105,498,179.5,109.5,170,170,1
I,0.465,0.36,0.105,0.498,0.214,0.116,0.14,15,465,360,105,498,214,116,140,150,1
F,0.525,0.405,0.16,0.658,0.2655,0.1125,0.225,12,525,405,160,658,265.5,112.5,225,120,1
F,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10,425,335,95,322,120.5,61,125,100,1
F,0.38,0.305,0.095,0.2815,0.1255,0.0525,0.09,8,380,305,95,281.5,125.5,52.5,90,80,1
I,0.53,0.415,0.145,0.944,0.3845,0.185,0.265,21,530,415,145,944,384.5,185,265,210,1
M,0.34,0.265,0.085,0.1835,0.077,0.046,0.065,10,340,265,85,183.5,77,46,65,100,1
I,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9,475,365,115,490,223,123.5,133.5,90,1
F,0.43,0.34,0.12,0.391,0.1555,0.095,0.1405,7,430,340,120,391,155.5,95,140.5,70,1
M,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10,460,365,125,467,189.5,94.5,158,100,1
I,0.47,0.36,0.13,0.5225,0.198,0.1065,0.165,9,470,360,130,522.5,198,106.5,165,90,1
M,0.36,0.295,0.1,0.2105,0.066,0.0525,0.075,9,360,295,100,210.5,66,52.5,75,90,1
M,0.355,0.265,0.09,0.168,0.05,0.041,0.063,8,355,265,90,168,50,41,63,80,1
M,0.38,0.235,0.1,0.258,0.1055,0.054,0.08,7,380,235,100,258,105.5,54,80,70,1
M,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,6,355,260,85,190.5,81,48.5,55,60,1
I,0.44,0.345,0.12,0.487,0.1965,0.108,0.16,14,440,345,120,487,196.5,108,160,140,1
F,0.51,0.4,0.13,0.5735,0.219,0.1365,0.195,13,510,400,130,573.5,219,136.5,195,130,1
M,0.325,0.24,0.085,0.173,0.0795,0.038,0.05,7,325,240,85,173,79.5,38,50,70,1
I,0.62,0.485,0.18,1.1785,0.4675,0.2655,0.39,13,620,485,180,1178.5,467.5,265.5,390,130,1
F,0.59,0.45,0.16,0.9,0.358,0.156,0.315,19,590,450,160,900,358,156,315,190,1
M,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7,330,255,95,187.5,73.5,45,60,70,1
M,0.45,0.34,0.13,0.3715,0.1605,0.0795,0.105,9,450,340,130,371.5,160.5,79.5,105,90,1
I,0.445,0.33,0.12,0.347,0.12,0.084,0.105,11,445,330,120,347,120,84,105,110,1
M,0.33,0.215,0.075,0.1145,0.045,0.0265,0.035,6,330,215,75,114.5,45,26.5,35,60,1
M,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9,480,375,145,777,216,130,170,90,1
I,0.46,0.35,0.12,0.4885,0.193,0.105,0.155,11,460,350,120,488.5,193,105,155,110,1
F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9,475,360,125,447,169.5,81,140,90,1
M,0.255,0.18,0.065,0.079,0.034,0.014,0.025,5,255,180,65,79,34,14,25,50,1
I,0.335,0.245,0.09,0.1665,0.0595,0.04,0.06,6,335,245,90,166.5,59.5,40,60,60,1
I,0.47,0.35,0.13,0.466,0.1845,0.099,0.145,11,470,350,130,466,184.5,99,145,110,1
M,0.31,0.225,0.08,0.1345,0.054,0.024,0.05,7,310,225,80,134.5,54,24,50,70,1
F,0.37,0.28,0.11,0.2305,0.0945,0.0465,0.075,10,370,280,110,230.5,94.5,46.5,75,100,1
M,0.295,0.215,0.075,0.129,0.05,0.0295,0.04,7,295,215,75,129,50,29.5,40,70,1
F,0.555,0.435,0.165,0.97,0.336,0.2315,0.295,17,555,435,165,970,336,231.5,295,170,1
F,0.615,0.515,0.17,1.14,0.4305,0.2245,0.42,16,615,515,170,1140,430.5,224.5,420,160,1
I,0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18,580,490,195,1316.5,530.5,254,410,180,1
F,0.585,0.475,0.185,0.9585,0.4145,0.1615,0.33,11,585,475,185,958.5,414.5,161.5,330,110,1
I,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18,650,525,180,1626,597,344.5,530,180,1
I,0.535,0.45,0.17,0.781,0.3055,0.1555,0.295,11,535,450,170,781,305.5,155.5,295,110,1
F,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10,415,340,130,367.5,146,88.5,120,100,1
F,0.38,0.305,0.105,0.281,0.1045,0.0615,0.09,12,380,305,105,281,104.5,61.5,90,120,1
I,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19,450,355,120,412,114.5,66.5,160,190,1
F,0.395,0.295,0.095,0.2245,0.078,0.054,0.08,10,395,295,95,224.5,78,54,80,100,1
M,0.455,0.35,0.12,0.4835,0.1815,0.144,0.16,11,455,350,120,483.5,181.5,144,160,110,1
F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15,485,380,150,605,215.5,140,180,150,1
M,0.55,0.425,0.155,0.9175,0.2775,0.243,0.335,13,550,425,155,917.5,277.5,243,335,130,1
F,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13,450,350,145,542.5,176.5,123,175,130,1
M,0.475,0.385,0.145,0.6175,0.235,0.108,0.215,14,475,385,145,617.5,235,108,215,140,1
F,0.5,0.38,0.155,0.655,0.2405,0.143,0.205,17,500,380,155,655,240.5,143,205,170,1
F,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19,530,410,165,811.5,240,169,240,190,1
M,0.49,0.39,0.15,0.573,0.225,0.124,0.17,21,490,390,150,573,225,124,170,210,1
F,0.49,0.385,0.15,0.7865,0.241,0.14,0.24,23,490,385,150,786.5,241,140,240,230,1
F,0.52,0.395,0.18,0.64,0.158,0.11,0.245,22,520,395,180,640,158,110,245,220,1
M,0.54,0.415,0.145,0.74,0.2635,0.168,0.245,12,540,415,145,740,263.5,168,245,120,1
F,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11,500,375,115,594.5,185,148,190,110,1
F,0.45,0.38,0.165,0.8165,0.25,0.1915,0.265,23,450,380,165,816.5,250,191.5,265,230,1
F,0.37,0.275,0.1,0.2225,0.093,0.026,0.08,8,370,275,100,222.5,93,26,80,80,1
I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7,370,275,100,229.5,88.5,46.5,70,70,1
M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10,485,370,140,572.5,204,141.5,175,100,1
F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7,435,325,115,391.5,154,94,120,70,1
M,0.535,0.405,0.185,0.8345,0.3175,0.1725,0.29,16,535,405,185,834.5,317.5,172.5,290,160,1
M,0.51,0.4,0.14,0.6515,0.2455,0.1665,0.185,10,510,400,140,651.5,245.5,166.5,185,100,1
M,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,15,565,440,185,909,344,232.5,255,150,1
F,0.535,0.4,0.15,0.8045,0.3345,0.2125,0.21,13,535,400,150,804.5,334.5,212.5,210,130,1
F,0.535,0.405,0.125,0.927,0.26,0.1425,0.345,16,535,405,125,927,260,142.5,345,160,1
M,0.525,0.4,0.17,0.7305,0.279,0.2055,0.195,11,525,400,170,730.5,279,205.5,195,110,1
M,0.59,0.44,0.15,0.9555,0.366,0.2425,0.295,11,590,440,150,955.5,366,242.5,295,110,1
M,0.5,0.375,0.15,0.636,0.2535,0.145,0.19,10,500,375,150,636,253.5,145,190,100,1
I,0.255,0.19,0.075,0.0865,0.0345,0.0205,0.025,5,255,190,75,86.5,34.5,20.5,25,50,1
F,0.43,0.325,0.115,0.3865,0.1475,0.1065,0.11,11,430,325,115,386.5,147.5,106.5,110,110,1
M,0.38,0.29,0.12,0.283,0.1175,0.0655,0.085,9,380,290,120,283,117.5,65.5,85,90,1
I,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,4,165,110,20,19,6.5,2.5,5,40,1
I,0.315,0.23,0.09,0.1285,0.043,0.04,0.04,7,315,230,90,128.5,43,40,40,70,1
I,0.155,0.105,0.05,0.0175,0.005,0.0035,0.005,4,155,105,50,17.5,5,3.5,5,40,1
M,0.28,0.205,0.1,0.1165,0.0545,0.0285,0.03,5,280,205,100,116.5,54.5,28.5,30,50,1
F,0.43,0.335,0.12,0.444,0.155,0.1145,0.14,13,430,335,120,444,155,114.5,140,130,1
F,0.395,0.315,0.105,0.3515,0.1185,0.091,0.1195,16,395,315,105,351.5,118.5,91,119.5,160,1
M,0.385,0.285,0.105,0.2905,0.1215,0.0685,0.0875,12,385,285,105,290.5,121.5,68.5,87.5,120,1
F,0.48,0.385,0.135,0.536,0.1895,0.142,0.173,14,480,385,135,536,189.5,142,173,140,1
F,0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9,445,330,105,452.5,180,103,123,90,1
M,0.395,0.295,0.115,0.316,0.1205,0.0595,0.1105,12,395,295,115,316,120.5,59.5,110.5,120,1
M,0.4,0.3,0.125,0.417,0.191,0.09,0.1175,9,400,300,125,417,191,90,117.5,90,1
M,0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10,415,325,140,417,153.5,101.5,144,100,1
M,0.315,0.25,0.09,0.203,0.0615,0.037,0.0795,11,315,250,90,203,61.5,37,79.5,110,1
F,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10,345,260,90,207,77.5,43.5,76.5,100,1
M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10,360,295,130,276.5,89.5,57,100.5,100,1
I,0.295,0.225,0.09,0.1105,0.0405,0.0245,0.032,7,295,225,90,110.5,40.5,24.5,32,70,1
I,0.325,0.25,0.08,0.176,0.0595,0.0355,0.063,7,325,250,80,176,59.5,35.5,63,70,1
M,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,11,375,300,100,246.5,104,47.5,83,110,1
I,0.28,0.205,0.055,0.1135,0.045,0.0275,0.0335,7,280,205,55,113.5,45,27.5,33.5,70,1
M,0.355,0.265,0.085,0.201,0.069,0.053,0.0695,8,355,265,85,201,69,53,69.5,80,1
M,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9,350,255,80,191.5,80,38.5,63,90,1
I,0.275,0.2,0.065,0.1035,0.0475,0.0205,0.03,7,275,200,65,103.5,47.5,20.5,30,70,1
I,0.29,0.205,0.07,0.0975,0.036,0.019,0.035,8,290,205,70,97.5,36,19,35,80,1
I,0.25,0.19,0.06,0.0765,0.036,0.0115,0.0245,6,250,190,60,76.5,36,11.5,24.5,60,1
I,0.18,0.125,0.035,0.0265,0.0095,0.0055,0.0085,4,180,125,35,26.5,9.5,5.5,8.5,40,1
I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2,150,100,25,15,4.5,4,5,20,1
I,0.16,0.11,0.025,0.018,0.0065,0.0055,0.005,3,160,110,25,18,6.5,5.5,5,30,1
M,0.555,0.455,0.16,1.0575,0.3925,0.228,0.293,13,555,455,160,1057.5,392.5,228,293,130,1
M,0.555,0.44,0.15,1.092,0.416,0.212,0.4405,15,555,440,150,1092,416,212,440.5,150,1
M,0.525,0.41,0.13,0.99,0.3865,0.243,0.295,15,525,410,130,990,386.5,243,295,150,1
M,0.465,0.36,0.08,0.488,0.191,0.125,0.155,11,465,360,80,488,191,125,155,110,1
F,0.49,0.36,0.11,0.5005,0.161,0.107,0.195,17,490,360,110,500.5,161,107,195,170,1
M,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,10,400,305,85,297,108,70.5,100,100,1
F,0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12,480,375,105,525,218.5,119.5,155,120,1
M,0.505,0.4,0.125,0.77,0.2735,0.159,0.255,13,505,400,125,770,273.5,159,255,130,1
F,0.52,0.4,0.12,0.6515,0.261,0.2015,0.165,15,520,400,120,651.5,261,201.5,165,150,1
M,0.525,0.4,0.13,0.8295,0.2405,0.1825,0.275,11,525,400,130,829.5,240.5,182.5,275,110,1
M,0.545,0.42,0.13,0.879,0.374,0.1695,0.23,13,545,420,130,879,374,169.5,230,130,1
M,0.52,0.4,0.12,0.823,0.298,0.1805,0.265,15,520,400,120,823,298,180.5,265,150,1
M,0.505,0.38,0.13,0.656,0.227,0.1785,0.22,13,505,380,130,656,227,178.5,220,130,1
M,0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,18,525,425,120,866.5,282.5,176,290,180,1
M,0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10,510,390,125,656.5,262,183.5,175,100,1
M,0.52,0.385,0.115,0.669,0.2385,0.172,0.205,12,520,385,115,669,238.5,172,205,120,1
F,0.52,0.405,0.125,0.6435,0.2415,0.1735,0.21,12,520,405,125,643.5,241.5,173.5,210,120,1
M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14,535,410,135,862,285.5,152.5,320,140,1
M,0.445,0.345,0.09,0.3795,0.143,0.074,0.125,10,445,345,90,379.5,143,74,125,100,1
M,0.53,0.44,0.205,0.835,0.32,0.2175,0.245,14,530,440,205,835,320,217.5,245,140,1
F,0.36,0.265,0.09,0.2065,0.078,0.057,0.06,8,360,265,90,206.5,78,57,60,80,1
F,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,14,535,420,150,736.5,278.5,186,215,140,1
F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17,520,405,140,817.5,279.5,183,260,170,1
M,0.53,0.415,0.13,0.8425,0.275,0.1945,0.265,20,530,415,130,842.5,275,194.5,265,200,1
F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17,530,420,130,1001,340,226,265,170,1
F,0.66,0.52,0.2,1.676,0.673,0.4805,0.45,17,660,520,200,1676,673,480.5,450,170,1
M,0.52,0.385,0.14,0.6595,0.2485,0.2035,0.16,9,520,385,140,659.5,248.5,203.5,160,90,1
M,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14,535,420,130,805.5,301,181,280,140,1
M,0.695,0.515,0.175,1.5165,0.578,0.4105,0.39,15,695,515,175,1516.5,578,410.5,390,150,1
F,0.51,0.39,0.105,0.612,0.187,0.15,0.195,13,510,390,105,612,187,150,195,130,1
M,0.485,0.355,0.12,0.547,0.215,0.1615,0.14,10,485,355,120,547,215,161.5,140,100,1
F,0.605,0.46,0.17,1.122,0.347,0.3045,0.315,13,605,460,170,1122,347,304.5,315,130,1
F,0.58,0.455,0.165,1.1365,0.369,0.3005,0.275,13,580,455,165,1136.5,369,300.5,275,130,1
M,0.65,0.515,0.175,1.4805,0.5295,0.272,0.525,20,650,515,175,1480.5,529.5,272,525,200,1
M,0.62,0.505,0.185,1.5275,0.69,0.368,0.35,13,620,505,185,1527.5,690,368,350,130,1
M,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,20,615,525,155,1137.5,367,236,370,200,1
F,0.605,0.495,0.19,1.437,0.469,0.2655,0.41,15,605,495,190,1437,469,265.5,410,150,1
M,0.57,0.44,0.155,1.116,0.4775,0.2315,0.27,13,570,440,155,1116,477.5,231.5,270,130,1
M,0.57,0.43,0.12,1.0615,0.348,0.167,0.31,15,570,430,120,1061.5,348,167,310,150,1
M,0.585,0.405,0.15,1.2565,0.435,0.202,0.325,15,585,405,150,1256.5,435,202,325,150,1
F,0.55,0.44,0.155,0.946,0.313,0.1825,0.335,16,550,440,155,946,313,182.5,335,160,1
F,0.54,0.44,0.135,0.959,0.2385,0.221,0.3,17,540,440,135,959,238.5,221,300,170,1
M,0.64,0.51,0.19,1.613,0.6215,0.361,0.47,14,640,510,190,1613,621.5,361,470,140,1
F,0.61,0.47,0.145,1.153,0.403,0.296,0.32,14,610,470,145,1153,403,296,320,140,1
M,0.545,0.45,0.15,0.978,0.3365,0.1905,0.3,11,545,450,150,978,336.5,190.5,300,110,1
F,0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,13,590,445,130,1132.5,382.5,234,320,130,1
M,0.345,0.27,0.095,0.197,0.0665,0.05,0.07,9,345,270,95,197,66.5,50,70,90,1
F,0.55,0.43,0.155,0.785,0.289,0.227,0.233,11,550,430,155,785,289,227,233,110,1
F,0.53,0.425,0.17,0.949,0.3485,0.2395,0.278,17,530,425,170,949,348.5,239.5,278,170,1
F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11,530,455,165,980.5,315.5,281.5,296.5,110,1
I,0.485,0.375,0.14,0.521,0.2,0.123,0.17,8,485,375,140,521,200,123,170,80,1
M,0.385,0.275,0.115,0.2685,0.0975,0.0825,0.085,8,385,275,115,268.5,97.5,82.5,85,80,1
M,0.455,0.34,0.135,0.462,0.1675,0.158,0.12,9,455,340,135,462,167.5,158,120,90,1
M,0.49,0.38,0.14,0.7605,0.245,0.167,0.185,10,490,380,140,760.5,245,167,185,100,1
M,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11,530,410,165,732,189,170,310,110,1
M,0.505,0.385,0.145,0.6775,0.236,0.179,0.2,15,505,385,145,677.5,236,179,200,150,1
M,0.49,0.38,0.14,0.6385,0.2305,0.142,0.195,13,490,380,140,638.5,230.5,142,195,130,1
M,0.465,0.35,0.14,0.5755,0.2015,0.1505,0.19,15,465,350,140,575.5,201.5,150.5,190,150,1
F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15,470,360,145,537,172.5,137.5,195,150,1
M,0.56,0.41,0.165,0.93,0.3505,0.237,0.3,13,560,410,165,930,350.5,237,300,130,1
M,0.505,0.385,0.15,0.6415,0.246,0.152,0.215,12,505,385,150,641.5,246,152,215,120,1
M,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10,515,435,145,881.5,292,206,255,100,1
I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6,385,280,125,244,102,38,85,60,1
I,0.215,0.155,0.06,0.0525,0.021,0.0165,0.015,5,215,155,60,52.5,21,16.5,15,50,1
M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15,550,415,175,1042,329.5,232.5,290.5,150,1
F,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9,515,390,130,575.5,197.5,130,184.5,90,1
M,0.495,0.385,0.135,0.709,0.211,0.1375,0.262,12,495,385,135,709,211,137.5,262,120,1
F,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9,505,390,160,644,247.5,202.5,163.5,90,1
F,0.6,0.465,0.165,0.8875,0.309,0.246,0.262,12,600,465,165,887.5,309,246,262,120,1
F,0.57,0.465,0.16,0.8935,0.3145,0.2575,0.263,10,570,465,160,893.5,314.5,257.5,263,100,1
F,0.485,0.375,0.135,0.556,0.1925,0.1315,0.1685,10,485,375,135,556,192.5,131.5,168.5,100,1
M,0.47,0.37,0.18,0.51,0.1915,0.1285,0.1625,9,470,370,180,510,191.5,128.5,162.5,90,1
M,0.575,0.45,0.165,0.9215,0.3275,0.225,0.256,12,575,450,165,921.5,327.5,225,256,120,1
M,0.58,0.465,0.16,1.0345,0.315,0.26,0.3635,12,580,465,160,1034.5,315,260,363.5,120,1
M,0.515,0.405,0.145,0.695,0.215,0.1635,0.234,15,515,405,145,695,215,163.5,234,150,1
M,0.53,0.41,0.155,0.7155,0.2805,0.1685,0.214,11,530,410,155,715.5,280.5,168.5,214,110,1
M,0.44,0.335,0.11,0.394,0.157,0.096,0.122,9,440,335,110,394,157,96,122,90,1
M,0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11,520,420,160,745,255,157,288.5,110,1
F,0.425,0.345,0.11,0.3665,0.125,0.081,0.117,11,425,345,110,366.5,125,81,117,110,1
M,0.46,0.34,0.135,0.495,0.1655,0.117,0.185,10,460,340,135,495,165.5,117,185,100,1
M,0.45,0.335,0.125,0.349,0.119,0.1055,0.115,10,450,335,125,349,119,105.5,115,100,1
M,0.425,0.33,0.13,0.4405,0.152,0.0935,0.155,9,425,330,130,440.5,152,93.5,155,90,1
I,0.37,0.275,0.1,0.22,0.094,0.045,0.065,7,370,275,100,220,94,45,65,70,1
M,0.515,0.38,0.135,0.6615,0.2875,0.2095,0.155,10,515,380,135,661.5,287.5,209.5,155,100,1
M,0.405,0.305,0.12,0.3185,0.1235,0.0905,0.095,7,405,305,120,318.5,123.5,90.5,95,70,1
I,0.28,0.205,0.07,0.1015,0.041,0.03,0.03,6,280,205,70,101.5,41,30,30,60,1
F,0.48,0.4,0.125,0.759,0.2125,0.179,0.24,15,480,400,125,759,212.5,179,240,150,1
F,0.44,0.34,0.13,0.4195,0.153,0.1155,0.13,10,440,340,130,419.5,153,115.5,130,100,1
F,0.52,0.41,0.115,0.807,0.2855,0.179,0.235,12,520,410,115,807,285.5,179,235,120,1
M,0.505,0.405,0.14,0.875,0.2665,0.174,0.285,12,505,405,140,875,266.5,174,285,120,1
F,0.49,0.365,0.13,0.6835,0.165,0.1315,0.205,21,490,365,130,683.5,165,131.5,205,210,1
I,0.235,0.175,0.055,0.067,0.027,0.0125,0.018,6,235,175,55,67,27,12.5,18,60,1
I,0.255,0.185,0.06,0.088,0.0365,0.021,0.023,5,255,185,60,88,36.5,21,23,50,1
I,0.315,0.24,0.085,0.1715,0.071,0.0345,0.0535,7,315,240,85,171.5,71,34.5,53.5,70,1
I,0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7,325,250,80,173.5,76.5,34.5,49,70,1
I,0.335,0.25,0.08,0.183,0.0735,0.04,0.0575,6,335,250,80,183,73.5,40,57.5,60,1
I,0.35,0.27,0.09,0.2055,0.075,0.0575,0.062,6,350,270,90,205.5,75,57.5,62,60,1
I,0.35,0.25,0.07,0.18,0.0655,0.048,0.054,6,350,250,70,180,65.5,48,54,60,1
I,0.36,0.3,0.085,0.27,0.1185,0.064,0.0745,7,360,300,85,270,118.5,64,74.5,70,1
I,0.365,0.275,0.135,0.24,0.108,0.0445,0.0735,7,365,275,135,240,108,44.5,73.5,70,1
I,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6,370,275,140,221.5,97,45.5,61.5,60,1
I,0.38,0.275,0.095,0.1375,0.086,0.0585,0.0605,7,380,275,95,137.5,86,58.5,60.5,70,1
I,0.385,0.29,0.095,0.312,0.143,0.0635,0.086,6,385,290,95,312,143,63.5,86,60,1
I,0.385,0.3,0.1,0.2895,0.1215,0.063,0.09,7,385,300,100,289.5,121.5,63,90,70,1
I,0.395,0.29,0.095,0.319,0.138,0.08,0.082,7,395,290,95,319,138,80,82,70,1
I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6,395,290,95,304,127,84,77,60,1
I,0.4,0.31,0.1,0.306,0.13,0.06,0.094,6,400,310,100,306,130,60,94,60,1
I,0.41,0.325,0.1,0.394,0.208,0.0655,0.106,6,410,325,100,394,208,65.5,106,60,1
I,0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7,415,320,110,373.5,175,75.5,109,70,1
M,0.415,0.305,0.1,0.325,0.156,0.0505,0.091,6,415,305,100,325,156,50.5,91,60,1
I,0.425,0.325,0.1,0.398,0.1185,0.0645,0.0945,6,425,325,100,398,118.5,64.5,94.5,60,1
I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9,440,365,115,501,243.5,84,146.5,90,1
I,0.445,0.335,0.1,0.4895,0.2745,0.086,0.1105,7,445,335,100,489.5,274.5,86,110.5,70,1
I,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7,445,325,100,378,179.5,100,89,70,1
I,0.45,0.35,0.13,0.547,0.245,0.1405,0.1405,8,450,350,130,547,245,140.5,140.5,80,1
M,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8,470,375,120,580.5,266,93.5,169,80,1
I,0.475,0.365,0.125,0.5465,0.229,0.1185,0.172,9,475,365,125,546.5,229,118.5,172,90,1
F,0.48,0.365,0.135,0.6395,0.2945,0.113,0.175,8,480,365,135,639.5,294.5,113,175,80,1
I,0.485,0.355,0.105,0.498,0.2175,0.096,0.1525,9,485,355,105,498,217.5,96,152.5,90,1
M,0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8,490,385,125,609,306.5,96,177.5,80,1
F,0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9,495,410,125,755.5,335.5,129,214,90,1
M,0.5,0.4,0.125,0.5975,0.27,0.1275,0.166,9,500,400,125,597.5,270,127.5,166,90,1
M,0.505,0.44,0.14,0.8275,0.3415,0.1855,0.239,8,505,440,140,827.5,341.5,185.5,239,80,1
M,0.525,0.395,0.13,0.7635,0.3375,0.1425,0.225,8,525,395,130,763.5,337.5,142.5,225,80,1
M,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9,540,405,125,891,481.5,191.5,202,90,1
F,0.54,0.42,0.14,0.805,0.369,0.1725,0.21,11,540,420,140,805,369,172.5,210,110,1
F,0.545,0.44,0.135,0.9185,0.429,0.2015,0.2375,10,545,440,135,918.5,429,201.5,237.5,100,1
F,0.55,0.43,0.125,0.923,0.4035,0.175,0.283,8,550,430,125,923,403.5,175,283,80,1
M,0.55,0.45,0.15,1.0145,0.407,0.2015,0.2875,10,550,450,150,1014.5,407,201.5,287.5,100,1
F,0.55,0.45,0.15,0.875,0.362,0.1755,0.2765,10,550,450,150,875,362,175.5,276.5,100,1
M,0.555,0.435,0.145,0.9685,0.4985,0.168,0.2385,9,555,435,145,968.5,498.5,168,238.5,90,1
M,0.565,0.45,0.155,1.0595,0.4735,0.24,0.265,10,565,450,155,1059.5,473.5,240,265,100,1
M,0.57,0.455,0.15,0.952,0.3895,0.2155,0.2745,9,570,455,150,952,389.5,215.5,274.5,90,1
M,0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10,570,435,130,753.5,349,175.5,194,100,1
F,0.575,0.465,0.14,0.958,0.442,0.1815,0.2705,9,575,465,140,958,442,181.5,270.5,90,1
M,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9,590,475,165,1077,454.5,244,309.5,90,1
M,0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12,590,460,130,1102,455,205.5,330,120,1
F,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10,595,480,150,1110,498,228,330,100,1
F,0.595,0.48,0.16,1.2095,0.5225,0.296,0.32,8,595,480,160,1209.5,522.5,296,320,80,1
